date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2004-04-28,14.45,10.7,18.2,29.7,,,
2004-04-29,12.8,8.3,17.3,0.8,,,
2004-04-30,10.4,7.0,13.8,0.0,,,
2004-05-01,10.0,7.4,12.6,2.1,,,
2004-05-02,9.6,7.0,12.2,25.5,,,
2004-05-03,10.45,7.3,13.6,1.5,,,
2004-05-04,11.75,5.5,18.0,0.1,,,
2004-05-05,10.65,8.0,13.3,3.2,,,
2004-05-06,11.0,5.8,16.2,0.0,,,
2004-05-07,10.75,6.3,15.2,0.0,,,
2004-05-08,11.600000000000001,6.4,16.8,0.0,,,
2004-05-09,11.8,7.5,16.1,3.7,,,
2004-05-10,12.5,8.5,16.5,10.5,,,
2004-05-11,10.55,9.1,12.0,6.4,,,
2004-05-12,12.8,9.1,16.5,4.8,,,
2004-05-13,13.85,8.0,19.7,0.0,,,
2004-05-14,14.5,9.3,19.7,0.0,,,
2004-05-15,15.55,10.5,20.6,0.0,,,
2004-05-16,16.75,10.9,22.6,0.0,,,
2004-05-17,18.25,10.9,25.6,0.3,,,
2004-05-18,18.75,12.6,24.9,0.0,,,
2004-05-19,18.9,12.4,25.4,0.0,,,
2004-05-20,19.35,13.4,25.3,0.0,,,
2004-05-21,17.5,13.0,22.0,6.0,,,
2004-05-22,16.45,12.7,20.2,19.1,,,
2004-05-23,16.7,12.6,20.8,7.2,,,
2004-05-24,16.0,11.2,20.8,35.3,,,
2004-05-25,15.600000000000001,12.4,18.8,0.3,,,
2004-05-26,15.85,13.0,18.7,8.6,,,
2004-05-27,17.35,12.3,22.4,0.7,,,
2004-05-28,18.9,13.5,24.3,0.0,,,
2004-05-29,20.4,14.6,26.2,0.0,,,
2004-05-30,21.0,16.0,26.0,0.0,,,
2004-05-31,21.85,16.1,27.6,0.0,,,
2004-06-01,23.299999999999997,17.2,29.4,0.0,,,
2004-06-02,24.0,19.0,29.0,0.0,,,
2004-06-03,21.75,14.3,29.2,0.0,,,
2004-06-04,21.95,15.0,28.9,0.0,,,
2004-06-05,24.9,18.3,31.5,0.0,,,
2004-06-06,24.4,18.3,30.5,4.4,,,
2004-06-07,20.7,16.2,25.2,0.0,,,
2004-06-08,22.85,17.3,28.4,0.0,,,
2004-06-09,23.299999999999997,17.4,29.2,0.0,,,
2004-06-10,24.9,19.6,30.2,0.0,,,
2004-06-11,25.5,19.7,31.3,0.0,,,
2004-06-12,26.3,20.6,32.0,0.0,,,
2004-06-13,23.7,18.0,29.4,0.0,,,
2004-06-14,20.9,14.0,27.8,0.0,,,
2004-06-15,19.6,13.4,25.8,0.0,,,
2004-06-16,22.15,15.6,28.7,0.0,,,
2004-06-17,23.7,16.4,31.0,0.0,,,
